Bavarian dialect,German,Meaning,Factual similarity,Grammar differs?,Reasons?
"Des Gmoagebiet umfosst a Fläch vo 13,95 km².","Das Gemeindegebiet umfasst eine Fläche von 13,95 km².",5.0,,False,
De Stod befindt se on da Mindung vom Fluss Pfreimd in de Naab und ghead zum Natuapark Obapfäjza Woid.,Die Stadt befindet sich an der Mündung des Flusses Pfreimd in die Naab und gehört zum Naturpark Oberpfälzer Wald.,5.0,,False,
"De Eihwohna wean ""Chilleurois"" gnennd.","Die Einwohner werden ""Chilleurois"" genannt.",5.0,,False,
"De hechste Eahebung is de ""Kuppe"" mid .","Die höchste Erhebung ist die ""Kuppe"" mit .",5.0,,False,
As Stadion fosst 34.596 Zuschaua.,"Spielstätte des Vereins ist das La Romareda, das knapp 35.000 Zuschauern Platz bietet.",3.0,The dialect sentence misses details,False,factual inconsistency
"Da Bibersbach, a Nemfluss vo da Röslau, fliaßt sidli davo. Östli valafft de A 93.","Der Bibersbach, ein Nebenfluss der Röslau, fließt südlich davon. Östlich verläuft die A 93.",5.0,,False,
A Gelübde im Zammahong mid da Epidemie hod im Ort de Tradition oana jährlichn Woifoaht noch Dettelbach begrindt.,Ein Gelübde im Zusammenhang mit der Epidemie begründete im Ort die Tradition einer jährlichen Wallfahrt nach Dettelbach.,5.0,,True,
"De Gebiagsregion is berihmt fia ian Kafää, der weng des kuihlan, rengreichn Klimas bsondas guat woxt.","Die Gebirgsregion ist berühmt für ihren Kaffee, der wegen des kühleren, regenreichen Klimas besonders gut gedeiht.",4.0,,False,"suble diff. in meaning
woxt ≠ gedeiht"
Lintlhof is a Weiler im Stodgebiet vo Riedenburg im niedabayerischn Landkroas Kelheim und liegt im Naturpark Altmühltal.,Lintlhof ist ein Ortsteil von Riedenburg im niederbayerischen Landkreis Kelheim und liegt im Naturpark Altmühltal.,4.0,The dialect sentence adds details,False,
"1 GG regelt, in welchem Maße Soidotn Einschränkunga ihra Grundrechte hinehma miassn.","Abs. 1 GG regelt, in welchem Maße Soldaten Einschränkungen ihrer Grundrechte hinnehmen müssen.",4.0,The dialect sentence misses details,False,
Seit'm 14. Joarhundad hod Manerba del Garda za Republik Venedig ghead.,Seit dem 14. Jahrhundert gehörte Manerba del Garda zur Republik Venedig.,5.0,,True,
Des Gleisnetz hod a Läng vo 142 km und vabindt 96 Bohhöf.,Das Gleisnetz hat eine Länge von 142 km und verbindet 96 Bahnhöfe.,5.0,,False,
Am 1. Jenna 1976 is Lanzendorf dazua kema.,Am 1. Januar 1976 kam Lanzendorf hinzu.,5.0,,True,
Am 1. Mai 1978 is de bis dohi sejbstständige Gmoa Apfeltrang eigliedat worn.,Am 1. Mai 1978 wurde die Gemeinde Apfeltrang nach Ruderatshofen eingegliedert.,4.0,The dialect sentence misses details,True,
Sei Obalauf buidt ds Dolomitntoi Fodom.,Sein Oberlauf bildet das Dolomitental Fodom.,5.0,,False,
Da Imanuel Nobel (1801-1872) is eamli aufgwoxn und hod scho mid 14 Joah ois Matros af an Schiff augheuat.,"Einer seiner Neffen war der schwedisch-russische Ölmagnat Emanuel Nobel (1859–1932), der Erbauer des ersten Dieselmotorschiffes, der ""Vandal"".",2.0,,False,
Im Kiachspui liegd de Kiach „Aal Kirke“.,Im Kirchspiel liegt die Aal Kirke.,4.0,The dialect sentence adds details,False,
"Nestroi 20/12 51 auff (T) 18/12 P[ro]be"" aubråcht.","Nestroi 20/12 51 auff (T) 18/12 P[ro]be"" angebracht.",,,False,both are incomplete
Easchtmois is Dörrmorsbach am 21. Dezemba 1184 in oana Urkunde von Popst Lucius III. eawähnt worn.,Erstmals wurde Dörrmorsbach am 21. Dezember 1184 in einer Urkunde von Papst Lucius III. erwähnt.,5.0,,True,
Laut ana Kalkulazion im Joar 2010 betrogd de Eihwohnazoih vo Lisala 79.235.,Laut einer Kalkulation im Jahr 2010 beträgt die Einwohnerzahl Lisalas 79.235.,5.0,,False,
"De Zejn vo de Prokaryota is primitiva, des hoasst weit wenga organisiat ois wia de Zejn vo de Eukaryota.",Die Prokaryoten sind die frühesten nachgewiesenen zellulären Lebewesen der Evolutionsgeschichte.,,,False,
"Da Sää is aa untam Nam: Lac de Malbuisson bekonnd, noch oam Doaf om Sää.","Der See ist auch unter dem Namen ""Lac de Malbuisson"" bekannt, nach einem Dorf am See.",5.0,,False,
Im Joar 1946 san de Gmoana Metzenhof und Treinreuth sowia Gebietstei vo Moos eihgliedat worn.,Im Jahr 1946 wurden die Gemeinden Metzenhof und Treinreuth sowie Gebietsteile von Moos eingegliedert.,5.0,,True,
Da Rest is zu Herefordshire glongd.,Der Rest gelangte zu Herefordshire.,5.0,,True,
"In Prag is des Stückl aum 21. Oktoba 1847 ohne Nestroy g'spüit wua'n, weitare Auffüahrungan san net bekaunnt.","In Prag wurde das Stück am 21. Oktober 1847 ohne Nestroys Mitwirken gespielt, weitere Aufführungen sind nicht bekannt.",4.0,The dialect sentence misses details,True,
"Da Powiat Siemiatycki is a Powiat ""(Kroas)"" in da poinischn Woiwodschoft Podlachien.","Der Powiat Siemiatycki ist ein Powiat ""(Kreis)"" in der polnischen Woiwodschaft Podlachien.",5.0,,False,
"De Entfanung bis Rom bedrogd 611 km, bis Reggio Calabria sans 103 km.","Die Entfernung bis Rom beträgt 611 km, bis Reggio Calabria sind es 103 km.",5.0,,False,
Bei Kleinhemsbach geht se floch zum Hahnenkamm üba.,Bei Kleinhemsbach geht sie flach zum Höhenzug des Hahnenkamms über.,4.0,The dialect sentence misses details,False,
Se grenzd on: Griachaland und de Tiakei.,Sie grenzt an Griechenland und die Türkei.,5.0,,False,
"A kuaz Stick fliaßt da Boch do vo Ost noch West, bevoa'ra noch Noadn obknickt.","Ein kurzes Stück fließt der Bach hier von Ost nach West, bevor er nach Norden abknickt.",5.0,,False,
"De Ortstei san: Atena Lucana Scalo, Serrone und San Giuseppe.","Die Ortsteile sind Atena Lucana Scalo, Serrone und San Giuseppe.",5.0,,False,
Da wichtigste Wirtschadszweig im Summa und im Winta is da Tourismus.,Der wichtigste Wirtschaftszweig im Sommer und im Winter ist der Tourismus.,5.0,,False,
"Za da Gemarkung ghean de drei Einödn: Baletshof, Dennhof und Dennhofmuihj.","Zur Gemarkung gehören die drei Einöden Baletshof, Dennhof und Dennhofmühle.",5.0,,False,
Am 31. Dezemba 1990 is Voglmühle no mid ocht Eihwohna eawähnt worn.,Am 31. Dezember 1990 wurde Voglmühle noch mit 8 Einwohnern erwähnt.,5.0,,True,
"Im Ostn buidd's Vallo di Diano sei Grenz, im Westn as Toi van Alento.","Im Osten bildet das Vallo di Diano seine Grenze, im Westen das Tal des Alento.",5.0,,False,
Uma 86 % van Woatschotz weisn Ehnlikeitn mid'm Woatschotz vo da Sproch Barombi af.,Circa 86 % des Wortschatzes weisen Ähnlichkeiten mit dem Wortschatz der Sprache Barombi auf.,5.0,,False,
A Gmoavabindungsstroß fiaht noch Dornberg.,"Ein Wirtschaftsweg führt nach Dornberg (0,6 km westlich).",4.0,The dialect sentence misses details,False,
Vatreta im Generoirod vom Département woa zletzt vo 2001 bis 2015 Jean-Claude Aubineau (dvd).,Vertreter im Generalrat des Départements war zuletzt von 2001 bis 2015 Jean-Claude Aubineau (DVD).,5.0,,False,"difference in lowercase
and uppercase"
"Easchtmois eawähnt worn is Cronheim im Joar 800 ois de Grindung vo oam Mo nomans ""Cracho"".",Nach Degener geht der Ortsname in der Form Craigenheim (1272) auf Cracho oder Crajo (Krähe) zurück.,2.0,,False,
1 - teiweis im Sharp County.,1 – teilweise im Sharp County.,,,False,both are incomplete
Da Ort liegt 19 km vo da Provinzhaptstod Asti entfeant auf oana Hech vo 263 m übam Meearesspiegl.,Der Ort liegt 19 Kilometer von der Provinzhauptstadt Asti entfernt auf einer Höhe von 263 m über dem Meeresspiegel.,5.0,,False,
Im Noadostn liegt a Tei vom Gmoabereich in de Haßberge.,Im Nordosten liegt ein Teil des Gemeindebereichs in den Haßbergen.,5.0,,False,
Se ghead politisch zum Gouvernement Sokotra vo da Republik Jemen.,Sie gehört politisch zum Gouvernement Sokotra der Republik Jemen.,5.0,,False,
"Ea umfossd 15 Gmoana im Arrondissement Nantua, sei Haptort (frz.: ""bureau centralisateur"") is Bellegarde-sur-Valserine.","Er umfasst zwölf Gemeinden im Arrondissement Nantua, sein bureau centralisateur ist in Valserhône.",4.0,The dialect sentence adds details,False,factual inconsistency
"De Nochboagmoana san: Val della Torre, San Gillio, Pianezza, Caselette und Rivoli.","Die Nachbargemeinden sind Val della Torre, San Gillio, Pianezza, Caselette und Rivoli.",5.0,,False,
"De Fläch hod 2267 acres (9,17 km²) bedrong.","Die Fläche betrug 2267 Acres (9,17 km²).",5.0,,True,
"Seit 2011 gibds aa Juniorn-Eiropamoastaschoftn, dean easchte Ausgob in Kruszwica, Poin stottgfundn hod.","Seit 2011 gibt es auch Junioren-Europameisterschaften, deren erste Ausgabe in Kruszwica, Polen stattfand.",5.0,,True,
Da Sitz vo da Vawoitung is Jonesboro (Western District) und Lake City (Eastern District).,"Mit Jonesboro (""Western District"") und Lake City (""Eastern District"") verfügt das County über zwei Verwaltungssitze (County Seats).",4.0,The dialect sentence misses details,False,different phrasing
Letcher County is a Beziak im Bundesstoot Kentucky in da USA.,Letcher County ist ein County im Bundesstaat Kentucky der Vereinigten Staaten.,5.0,,False,synonym used 
A gschlossane Eisdeck bam heidign Rock Island hod eam an Weg zua gmochd und an Fluss no Westn volagad.,Eine geschlossene Eisdecke beim heutigen Rock Island versperrte den einstigen Verlauf und verlagerte den Fluss nach Westen.,4.0,,True,different phrasing
De Fuaßballer sann vom TSV und vom SSV Kefring.,Durchgeführt wird der Faschingszug vom örtlichen Sportverein TSV Alteglofsheim e. V.,2.0,,False,
Es bstähd a Vaeihboade Vawoitungsgmoaschoft gmoasom mid Fluorn-Winzeln und Oberndorf a. N. mid'm Siez in Oberndorf.,Es besteht eine Vereinbarte Verwaltungsgemeinschaft gemeinsam mit Fluorn-Winzeln und Oberndorf a. N. mit dem Sitz in Oberndorf.,5.0,,False,
De Verwoitungsgliederung vo Ontario in Kanada is recht differenziat.,Die Verwaltungsgliederung Ontarios ist vielfältig.,4.0,The dialect sentence adds details,False,
"Da Bezirk hod a Fläche vo 2.191 Quadratkilometa, dovo san 27 Quadratkilometa Wossafläche.","Das County hat eine Fläche von 2.190,8 Quadratkilometern, wovon 38,1 Quadratkilometer Wasserfläche sind.",4.0,Minor factual inconsistency,False,different phrasing
Ehemoiige Gmoana seit da landesweitn Neioadnung vo de Kantone.,Ehemalige Gemeinden seit der landesweiten Neuordnung der Kantone.,5.0,,False,
"""garðar"" is's germanische Woat fia: ""Buag, umzainds Glände"".","""garðar"" ist das germanische Wort für ""Burg, umzäuntes Gelände"".",5.0,,False,
Eschenlach is a Ortstei vo da Stod Feuchtwangen im Landkroas Ansbach in Middlfrankn.,"Eschenlach ist ein Gemeindeteil der Stadt Feuchtwangen im Landkreis Ansbach (Mittelfranken, Bayern).",4.0,The dialect sentence misses details,False,
De easchte Auffüahrung is anonym aum 4. Mai 1850 im Weana Carltheater g'wes'n.,Die Uraufführung fand anonym am 4. Mai 1850 im Wiener Carltheater statt.,5.0,,True,synonym used
Da Sitz vo da Vawoitung is Jasper.,Der Verwaltungssitz (County Seat) ist Jasper.,4.0,The dialect sentence misses details,False,
Da Sitz vo da Vawoitung is Pointe a la Hache.,"Der Verwaltungssitz (Parish Seat) ist Pointe a la Hache, der größte Ort Belle Chasse.",4.0,The dialect sentence misses details,False,
In Deitschland wiad des Pocophone F1 offiziai ned vakafft.,In Deutschland wird das Pocophone F1 offiziell nicht verkauft.,5.0,,False,
Dea Ewigkeit vo ana Vafassung san duach de gsöjschaftliche Entwicklung Grenzn gsetzt.,Der Ewigkeit einer Verfassung sind durch die gesellschaftliche Entwicklung Grenzen gesetzt.,5.0,,False,
"Bolano gheat zu da ""Comunità Montana della Media e Bassa Val di Vara"" und zum Natuapark Montemarcello-Magra.","Bolano gehört zu der ""Comunità Montana della Media e Bassa Val di Vara"" und zum Naturpark Montemarcello-Magra.",5.0,,False,
In de Joar 2014 und 2015 is des Pforrheim renoviat und am 19. Juli 2015 wiedaeaöffnet worn.,In den Jahren 2014 und 2015 wurde das Pfarrheim renoviert und am 19. Juli 2015 wiedereröffnet.,5.0,,True,
"Im Summa 2013 hod de Arena a Rosnhoazung kriagt, im Summa 2015 is s Fluatliacht af 1200 Lux vastiakd worn.","Im Sommer 2013 erhielt die Arena eine Rasenheizung, im Sommer 2015 wurde das Flutlicht auf 1.200 Lux Beleuchtungsstärke aufgerüstet.",4.0,The dialect sentence misses details,True,
De wichtigste Stroß vom Ort is de B vo Regen noch Bassa.,Die wichtigste Straße des Ortes ist die Bundesstraße 85 von Regen nach Passau.,4.0,The dialect sentence misses details,False,
"De Nochboaorte vo San Vitaliano san: Marigliano, Nola, Saviano und Scisciano.","Die Nachbarorte von San Vitaliano sind Marigliano, Nola, Saviano und Scisciano.",5.0,,False,
Neb'n dem Båd steht de Gradner-Kapelle.,Neben dem Bad steht die Gradner-Kapelle.,5.0,,False,
Am 1. Jenna 1972 is de bis dohi sejbstständige Gmoa Mistendorf in de Gmoa Strullendorf eihgliedat worn.,Am 1. Januar 1972 wurde die Gemeinde Mistendorf in die Gemeinde Strullendorf eingegliedert.,4.0,The dialect sentence adds details,True,
Burkersdorf is a Ortstei vom Moakt Küps im Landkroas Kronach (Regierungsbezirk Obafrankn).,"Burkersdorf (umgangssprachlich: ""Borgschdoʳf"") ist ein Gemeindeteil des Marktes Küps im Landkreis Kronach (Oberfranken, Bayern).",4.0,Different details,False,
Es is a typische Villa im Baustij vo da domilign Zeid.,Es ist eine typische Villa im Baustil der damaligen Zeit.,5.0,,False,
"Da Theatazedl vom Nestroy sein Weak håt den Vameak ""„frei nach dem Französischen“"" g'håbt.",Der Theaterzettel von Nestroys Werk trug den Vermerk „frei nach dem Französischen“.,5.0,,True,synonym used 
De Nochboagmoana san de Waadtlända Gmoana: Mies VD und Chavannes-des-Bois sowia de Genfa Gmoana: Collex-Bossy und Genthod.,Die Nachbargemeinden sind die Waadtländer Gemeinden Mies VD und Chavannes-des-Bois sowie die Genfer Gemeinden Collex-Bossy und Genthod.,5.0,,False,
De hechste Eahebung in dem komplett bewoidtn Areal is da Franzosenkopf mid .,Die höchste Erhebung in dem komplett bewaldeten Areal ist der Franzosenkopf mit .,,,False,both are incomplete
Am 31. Dezemba 1990 hod Kagerhof sechs Eihwohna ghod und hod zua Pforrei Altenthann gheat.,Am 31. Dezember 1990 hatte Kagerhof sechs Einwohner und gehörte zur Pfarrei Altenthann.,5.0,,True,
Doddagaddavalli is a Oatschoft im Bundesstoot Karnataka in Indien.,Doddagaddavalli oder auch Doddagadduvalli ist ein ca. 500 Einwohner zählendes Dorf im Distrikt Hassan im südwestindischen Bundesstaat Karnataka.,3.0,The dialect sentence misses details,False,
Duach de Bündner Gebietsreform san de Kroas afghom worn.,Durch die Bündner Gebietsreform wurden die Kreise aufgehoben.,5.0,,True,
Aitrang is a Gmoa im schwäbischn Landkroas Ostallgai und Mitglied vo da Vawoitungsgmoaschoft Biessenhofen.,Aitrang ist eine Gemeinde im schwäbischen Landkreis Ostallgäu und Mitglied der Verwaltungsgemeinschaft Biessenhofen.,5.0,,False,
"As Patrozinium, da Dog van Evangelist Johannes (27. Dezemba), foit gleichzeidig auf'n Gebuazzdog van Johannes Kepler.","Das Patrozinium der Kirche, das Fest des hl. Johannes am 27. Dezember, ist gleichzeitig der Geburtstag von Johannes Kepler.",4.0,Different details,False,
"Habkern liegd im Berner Oberland on da Grenz zum Emmental, wejche vom Hohgant buidt wead.","Habkern liegt im Berner Oberland an der Grenze zum Emmental, welche vom Hohgant gebildet wird.",5.0,,False,
De heitige Gmoa is im Joar 1628 grindt worn.,Die heutige Gemeinde wurde im Jahre 1628 gegründet.,5.0,,True,
"Mid dem Gsetz is da Bundesminista fia Vateidigung eamächtigt worn, aus Freiwuiignvabändn vom BGS Vabände vo da Bundeswehr afzstäin.","Mit diesem Gesetz wurde der Bundesminister für Verteidigung ermächtigt, aus Freiwilligenverbänden des BGS Verbände der Bundeswehr aufzustellen.",5.0,,True,
Mid oan dea beidn Pakete codice_1 oda codice_2 kon a Breve unta jedn Buachstob gsetzt wean.,Mit einem der beiden Pakete codice_1 oder codice_2 kann ein Breve unter jeden Buchstaben gesetzt werden.,5.0,,False,
"De Woblasz umfosst uma 40.000 km² und zejt 1.321.100 Eihwohna (2004), drunta seah vui Russn.","Die Woblasz umfasst rund 40.000 km² und zählt 1.321.100 Einwohner (2004), darunter sehr viele Russen.",5.0,,False,
De ungsättigde Zone is duach a obweats grichdde Sickawossabewegung kennzeichnd.,Die ungesättigte Zone ist durch eine abwärts gerichtete Sickerwasserbewegung gekennzeichnet.,5.0,,False,
Haptort vom Distrikt is Santarém.,Hauptort des Distrikts ist Santarém.,5.0,,False,
Zwischn 1991 und 2001 is de Eihwohnazoi vo 19.524 auf 18.644 gfoin.,Zwischen 1991 und 2001 fiel die Einwohnerzahl von 19.524 auf 18.644.,5.0,,True,
"Die PARTEI is a deitsche Partei de im Joar 2004 vom Satire-Heftl ""Titanic"" grind woan is."""".","Sie wurde 2004 von Redakteuren der ""Titanic"" gegründet.",4.0,Different details,True,
"Es is a Natuastoa, dea wo im eadgschichtlichn Zeidoita vom ""Oban Muschlkoich"" entstoundn is.","Es handelt sich erdgeschichtlich um ein Gestein, das im Zeitraum des Oberen Muschelkalks entstand.",4.0,,True,"different phrasing,
synonyms used"
In da Nech liengde Gmoana san: Valle dell’Angelo (1 km Entfeanung) und Laurino (7 km Entfeanung).,In der Nähe liegende Gemeinden sind Valle dell’Angelo (1 km Entfernung) und Laurino (7 km Entfernung).,5.0,,False,
Gove County is a Beziak im Bundesstoot Kansas in da USA.,Gove County ist ein County im Bundesstaat Kansas der Vereinigten Staaten.,5.0,,False,
Se is jedoch ned umgsetzt worn und im Jenna 2011 duach a Vafossungsendarung vom President Joseph Kabila obgsogt worn.,Sie wurde jedoch nicht umgesetzt und im Januar 2011 durch eine Verfassungsänderung von Präsident Joseph Kabila abgesagt.,5.0,,True,
Wenige Kilometa estli vo Bellusco fliaßt de Adda.,Wenige Kilometer östlich von Bellusco fließt die Adda.,5.0,,False,
"Des entspricht an prozentualn Zuawochs vo 14,9 %.","Zwischen 1991 und 2001 stieg die Einwohnerzahl von 5393 auf 6199. Dies entspricht einem prozentualen Zuwachs von 14,9 %.",4.0,The dialect sentence misses details,False,
Wittelshofen is a Gmoa im Landkroas Ansbach in Middlfrankn.,Wittelshofen ist eine Gemeinde im Landkreis Ansbach in Mittelfranken und zählt zur Metropolregion Nürnberg.,4.0,The dialect sentence misses details,False,
Seit 1981 is de Pforrgmoa Tei vom Pforrvaband Reischach/Arbing.,Seit 1981 ist die Pfarrgemeinde Teil des Pfarrverbands Reischach/Arbing.,5.0,,False,
Da Ort is am 1. Jenna 1978 in an Moakt Weidenberg eigliedat worn.,"Am 1. Januar 1978 wurde Neunkirchen mit seinen Ortsteilen Altmühle, Bruckmühle, Grünhof, Lohe und Sorg in den Markt Weidenberg eingegliedert.",4.0,The dialect sentence misses details,True,
Vo 1997 bis 2008 is a Vorsitznda vo de Greanan gwen.,Von 1999 bis 2008 war er Klubobmann des Grünen Klubs im Parlament.,4.0,Minor factual inconsistency,True,dialect missed details
"De Gmoa umfosst de Fraktion ""Aizurro"".","Die Gemeinde umfasst die Fraktion ""Aizurro"".",5.0,,False,
Des Gmoagebiet umfosst a Fläch vo 7 km².,Das Gemeindegebiet umfasst eine Fläche von 7 km².,5.0,,False,
"Duach diesn Präventivschutz sooin Owendunga voa no unbekanntn Sichaheitslechan, sogenanntn Zero-Day-Exploits, gschitzt wean.","Durch diesen Präventivschutz sollen Anwendungen vor noch unbekannten Sicherheitslöchern, sogenannten Zero-Day-Exploits, geschützt werden.",5.0,,False,
"Am 1. Jenna 1976 is de Gmoa Großelfingen ""(domolige Schreibweise)"" in de Stod Nördlingen eihgliedat worn.","Am 1. Januar 1976 wurde die Gemeinde Großelfingen ""(damalige Schreibweise)"" in die Stadt Nördlingen eingegliedert.",5.0,,True,
Se ghead administrativ zum Arrondissement Céret und zum gleichnaming Kanton Céret.,Sie gehört zum Arrondissement Céret und zum Kanton Céret.,4.0,The dialect sentence adds details,False,
Rauhenebrach liegt in da Region Main-Rhön im Steigerwald an da Rauhen Ebrach.,Die Gemeinde liegt in der Region Main-Rhön im Steigerwald an der Rauhen Ebrach.,5.0,,False,
Haptort (Sitz vo da Untapräfektua) is Corte.,Hauptort (Sitz der Unterpräfektur) ist Corte.,5.0,,False,
Namasgeba is da gleinaming Gletscha in da Schweiz.,Namensgeber ist der gleichnamige Gletscher in der Schweiz.,5.0,,False,
De Oschlussstej 52 zua Autoroute A20 liegd uma 17 Kilometa noadwestli.,Die Anschlussstelle 52 zur Autoroute A20 liegt etwa 17 Kilometer nordwestlich.,5.0,,False,
"Des Doaf liegt an oam rechtn Zuafluss vo da Rotach, de a rechta Zuafluss vo da Wörnitz is.","Das Dorf liegt am Höllbach, einem rechten Zufluss der Rotach, die wiederum ein rechter Zufluss der Wörnitz ist.",4.0,The dialect sentence misses details,False,
Green County is a Bezirk im Bundesstoot Kentucky in da USA.,Green County ist ein County im Bundesstaat Kentucky der Vereinigten Staaten.,5.0,,False,synonym used
Stanislaus County is a Beziak im Bundesstoot Kalifornien in da USA.,Stanislaus County ist ein County im Bundesstaat Kalifornien.,4.0,The dialect sentence adds details,False,synonym used
"58 Kilometa noadwestli liegd da gressare Ort Hayuliang, wo 2012 noch ana Schäzung 2016 Peasona glebd hom.","58 Kilometer nordwestlich liegt der größere Ort Hayuliang, wo 2011 1834 Personen lebten.",4.0,Major factual inconsistency,True,"different years used 
thus population differs"
Am 31. Dezemba 1990 hod Birkhof 47 Eihwohna ghod und hod zua Pforrei Treffelstein gheat.,Am 31. Dezember 1990 hatte Birkhof 47 Einwohner und gehörte zur Pfarrei Treffelstein.,5.0,,True,
Siez vo da Gmoaschoft is in Fivizzano.,Sitz der Gemeinschaft ist in Fivizzano.,5.0,,False,
Walderbach liegt in da Region Rengschburg.,"Mit der Nachbargemeinde Reichenbach bildet Walderbach eine Verwaltungsgemeinschaft, deren Sitz sich in Walderbach befindet.",3.0,The dialect sentence misses details,False,different phrasing
Auchsesheim is a Pforrdoaf und Stodtei vo da Groußn Kroasstod Doanaweat im Landkroas Donau-Rias (Bayern).,Auchsesheim ist ein Pfarrdorf und Stadtteil der Großen Kreisstadt Donauwörth im Landkreis Donau-Ries (Bayern).,5.0,,False,
Se is 3610 km long.,Sie ist 3610 km lang.,5.0,,False,
"De Gmoa Wasserlos hod zum Bezirksomt Alzenau gheat, des am 1. Juli 1862 buidt worn is.","Die Gemeinde Wasserlos gehörte zum Bezirksamt Alzenau, das am 1. Juli 1862 gebildet wurde.",5.0,,True,
"Ofong Jenna 2014 hod de Bevejkarung 306.200 Eihwohna (5,98 % vo da Gsomtbevejkarung vo Norwegn).","Am 30. Juni 2017 betrug die Bevölkerung 318.359 Einwohner (5,98 % der Gesamtbevölkerung Norwegens im Jahr 2014).",4.0,Major factual inconsistency,False,"different years used 
thus population differs"
Des Toi is unbsiedlt und werd vom Geiselbach duachflossn.,Das Tal ist unbesiedelt und wird vom Geiselbach durchflossen.,5.0,,False,
Untereschenbach is a Stodtei vo da bayerischn Stod Hammelburg im untafränkischn Landkroas Bad Kissingen.,Untereschenbach ist ein Stadtteil der bayerischen Stadt Hammelburg im unterfränkischen Landkreis Bad Kissingen.,5.0,,False,
"Da Salmson GS den ea gmoasom mid Lionel de Marmier gfoahn is, is duach an Defekt am Starta ausgfoin.","Der Salmson GS den er gemeinsam mit Lionel de Marmier fuhr, fiel durch einen Defekt am Starter aus.",5.0,,True,
Da Ort liegt estli vom Kernort on da Wannig.,Das Pfarrdorf liegt östlich des Kernortes an der Wannig.,4.0,,False,different words used
Modeans Herkulestauweak bsteht aus synthetischn Fasan und houchweating Stoihdräht.,Modernes Herkulestauwerk besteht aus synthetischen Fasern und hochwertigen Stahldrähten.,5.0,,False,
Charhof is a Ortstei vo da Stod Feuchtwangen im Landkroas Ansbach in Middlfrankn.,"Charhof ist ein Gemeindeteil der Stadt Feuchtwangen im Landkreis Ansbach (Mittelfranken, Bayern).",4.0,The dialect sentence misses details,False,
Am 1. Mai 1978 san Gebietstei vo da aufglestn Gmoa Zips eihggliedat worn.,Im Zuge der Gebietsreform in Bayern wurden am 1. Mai 1978 Gebietsteile der aufgelösten Gemeinde Zips eingegliedert.,4.0,The dialect sentence misses details,True,
Gsezlich beruahd da Schuz afm Ancient Monuments and Archaeological Areas Act 1979.,Gesetzlich beruht der Schutz auf dem Ancient Monuments and Archaeological Areas Act 1979.,5.0,,False,
Haptort (Untapräfektua) is Saint-Flour.,Hauptort (Unterpräfektur) ist Saint-Flour.,5.0,,False,
Towson is etwa im Joar 1750 vo de Briada William und Thomas Towson grindd worn.,Towson wurde etwa im Jahr 1750 von den Brüdern William und Thomas Towson gegründet.,5.0,,True,
In da Vagongaheit is da Flugplotz a militärisch gnutzt worn.,In der Vergangenheit wurde der Flugplatz auch militärisch genutzt.,5.0,,True,
"Oktoba und Novemba san de feichtestn Monate, Feba und Jenna de trucknstn.","Oktober und November sind die feuchtesten Monate, Februar und Januar die trockensten.",5.0,,False,
"Da Noma riaht vo "" Pons Aureoli"" („[neie] Bruck vom Aureolus“) hea.","Der Name rührt von "" Pons Aureoli"" („[neue] Brücke des Aureolus“) her.",5.0,,False,
Uma 1900 hod Prex 268 Eihwohna ghod.,Um 1900 hatte Prex 268 Einwohner.,5.0,,True,
Weitare Doafherrn woarn de Herrn vo Coburg und vo 1414 bis 1620 de Herrn vo Schaumberg.,Weitere Dorfherren waren die Herren von Coburg und von 1414 bis 1620 die Herren von Schaumberg.,5.0,,False,
Da Ort is im Joar 1387 ois „zu den hofen“ easchtmois nomantli eawähnt.,Der Ort wurde im Jahr 1387 als „zu den hofen“ erstmals namentlich erwähnt.,5.0,,True,
Iah Haptstod is de Stod Lleida.,Ihre Hauptstadt ist die Stadt Lleida.,5.0,,False,
Reitenbuch is a Doaf und Ortstei vom Moakt Fischach im schwäbischn Landkroas Augschburg in Bayern (Deitschland).,Reitenbuch ist ein Dorf und Ortsteil des Marktes Fischach im schwäbischen Landkreis Augsburg in Bayern (Deutschland).,5.0,,False,
Am 1. Jenna 1978 is Ottelmannshausen in de Gmoa Herbstadt eihgliedat worn.,Am 1. Januar 1978 wurde Ottelmannshausen in die Gemeinde Herbstadt eingegliedert.,5.0,,True,
"De Stod Nottingham woa bis 1998 a Tei vo da Grofschoft, is owa seitdem a selbstständiga Stodkroas (Unitary Authority).","Die Stadt Nottingham war bis 1998 ein Teil der Grafschaft, ist aber seitdem ein selbständiger Stadtkreis (Unitary Authority).",5.0,,False,
Umsonst! is a Poss'n mit G'saung und Taunz in drei Akt vom Johann Nestroy.,Umsonst! ist eine Posse mit Gesang und Tanz in drei Akten von Johann Nestroy.,5.0,,False,
Se liegt knopp 20 km neadli vom Stodzentrum vo Mailand.,Sie liegt knapp 20 km nördlich des Stadtzentrums von Mailand.,5.0,,False,
Im Ostn fliaßt de Schwarzach voabei.,Im Osten fließt die Schwarzach vorbei.,5.0,,False,
Am 1. Juli 1971 is de ehemois sejbstständige Gmoa Dornau noch Sulzbach am Main eihgmoant worn.,Am 1. Juli 1971 wurde die ehemals selbstständige Gemeinde Dornau nach Sulzbach am Main eingemeindet.,5.0,,True,
De Einöde liegt uma drei Kilometa sidli vo Eurasburg.,Die Einöde liegt circa drei Kilometer südlich von Eurasburg.,5.0,,False,
